# integrals: gal_nbwsq   = 725.569
# integrals: gal_nbsqwsq = 0.366816
# integrals: rand_nbwsq   = 3.59842
# integrals: rand_nbsqwsq = 0.366804
# power spectrum values
176 0.282291 1.69181e-07 25817
177 0.283899 1.76473e-07 26064
178 0.285508 1.70172e-07 26609
179 0.287116 1.65085e-07 27228
180 0.288725 1.44901e-07 27605
181 0.290333 1.30153e-07 27548
182 0.291942 1.17449e-07 27853
183 0.29355 1.1163e-07 28724
184 0.295159 1.14892e-07 28709
185 0.296767 1.19922e-07 28092
186 0.298376 1.29654e-07 29489
187 0.299984 1.31716e-07 29456
188 0.301593 1.38123e-07 29353
189 0.303201 1.27662e-07 30108
190 0.30481 1.24e-07 30813
191 0.306418 1.03334e-07 30960
192 0.308027 1.01583e-07 30413
193 0.309635 8.43035e-08 31644
194 0.311244 9.24527e-08 32221
195 0.312852 8.5048e-08 31640
196 0.314461 1.03169e-07 32957
197 0.316069 9.90418e-08 32392
198 0.317678 1.15061e-07 33305
199 0.319286 1.0517e-07 33140
200 0.320895 1.10193e-07 33725
201 0.322503 9.01689e-08 34088
202 0.324112 9.30672e-08 34269
203 0.32572 7.19353e-08 34388
204 0.327329 7.9175e-08 35865
205 0.328937 6.70726e-08 34644
206 0.330546 8.26135e-08 36117
207 0.332154 7.70945e-08 35468
208 0.333763 9.40328e-08 37513
209 0.335371 8.70405e-08 36669
210 0.33698 9.64017e-08 36920
211 0.338588 8.30066e-08 37757
212 0.340197 8.42558e-08 38276
213 0.341805 6.95857e-08 37633
214 0.343414 7.08698e-08 38740
215 0.345022 6.24728e-08 39201
216 0.346631 6.67404e-08 39480
217 0.348239 6.59525e-08 39685
218 0.349848 7.28588e-08 40044
219 0.351456 7.57768e-08 40165
220 0.353065 7.95659e-08 40384
221 0.354673 7.64135e-08 41221
222 0.356282 7.2012e-08 41812
223 0.35789 6.64263e-08 42249
224 0.359499 5.7756e-08 41864
225 0.361107 5.41513e-08 42785
226 0.362716 5.02636e-08 43428
227 0.364324 5.36488e-08 43521
228 0.365933 5.53381e-08 44104
229 0.367541 6.29933e-08 44005
230 0.36915 6.35025e-08 44764
231 0.370758 6.85224e-08 44729
232 0.372367 6.41724e-08 45160
233 0.373975 6.35096e-08 45941
234 0.375584 5.2861e-08 45552
235 0.377192 5.1691e-08 46761
236 0.378801 4.44001e-08 47004
237 0.380409 4.73496e-08 47449
238 0.382018 4.47561e-08 47396
239 0.383626 5.16291e-08 48593
240 0.385235 5.13493e-08 48808
241 0.386843 5.60143e-08 49269
242 0.388452 5.32456e-08 48712
243 0.39006 5.47292e-08 50029
244 0.391669 4.71295e-08 50200
245 0.393277 4.74454e-08 51357
246 0.394886 4.0817e-08 50052
247 0.396494 4.4477e-08 51981
248 0.398103 3.9031e-08 51492
249 0.399711 4.74073e-08 52681
