       1.049758430238e-05       4.729892136916e+01 
       2.344084661615e-05       1.027746840742e+02 
       3.643005912634e-05       1.573489419898e+02 
       4.950051013652e-05       2.115834878997e+02 
       6.268807716201e-05       2.658028263032e+02 
       7.602954993009e-05       3.202531203322e+02 
       8.956296380310e-05       3.751468493613e+02 
       1.033279480986e-04       4.306811521468e+02 
       1.173660938148e-04       4.870473114747e+02 
       1.317213453031e-04       5.444365373535e+02 
       1.464404204344e-04       6.030440348701e+02 
       1.615732637395e-04       6.630722093379e+02 
       1.771735368112e-04       7.247334282875e+02 
       1.932991498604e-04       7.882525753252e+02 
       2.100128376134e-04       8.538695141715e+02 
       2.273827815922e-04       9.218415424406e+02 
       2.454832790413e-04       9.924458548053e+02 
       2.643954561341e-04       1.065982038785e+03 
       2.842080193084e-04       1.142774588212e+03 
       3.050180333039e-04       1.223175349711e+03 
       3.269317072959e-04       1.307565890378e+03 
       3.500651610217e-04       1.396359594102e+03 
       3.745451305933e-04       1.490003368135e+03 
       4.005095585178e-04       1.588978712355e+03 
       4.281079943953e-04       1.693801869379e+03 
       4.575017124314e-04       1.805022672825e+03 
       4.888634308409e-04       1.923221695132e+03 
       5.223764992544e-04       2.049005204223e+03 
       5.582334078833e-04       2.182997370921e+03 
       5.966334728070e-04       2.325829366368e+03 
       6.377795732034e-04       2.478124891391e+03 
       6.818738669061e-04       2.640482103783e+03 
       7.291124966440e-04       2.813452163319e+03 
       7.796794215722e-04       2.997515083711e+03 
       8.337396586866e-04       3.193054313416e+03 
       8.914323755175e-04       3.400331721219e+03 
       9.528644063157e-04       3.619465458348e+03 
       1.018104829921e-03       3.850412976264e+03 
       1.087181215275e-03       4.092961510451e+03 
       1.160077996198e-03       4.346727543162e+03 
       1.236737196322e-03       4.611165745761e+03 
       1.317061433630e-03       4.885586902540e+03 
       1.400918854679e-03       5.169155703455e+03 
       1.488149441236e-03       5.460985695978e+03 
       1.578572033828e-03       5.760131980290e+03 
       1.671991432672e-03       6.065608828285e+03 
       1.768205043099e-03       6.376428938511e+03 
       1.867008690285e-03       6.691626216256e+03 
       1.968201396408e-03       7.010273572054e+03 
       2.071589061383e-03       7.331496436609e+03 
       2.176987099436e-03       7.654481308467e+03 
       2.284222153972e-03       7.978480969476e+03 
       2.393133047276e-03       8.302816135406e+03 
       2.503571128423e-03       8.626873427567e+03 
       2.615400171911e-03       8.950106015077e+03 
       2.728495959089e-03       9.272026162995e+03 
       2.842745650534e-03       9.592204114469e+03 
       2.958047033875e-03       9.910260935254e+03 
       3.074307710428e-03       1.022586580534e+04 
       3.191444266275e-03       1.053873047622e+04 
       3.309381459190e-03       1.084860489959e+04 
       3.428051441912e-03       1.115527365097e+04 
       3.547393034071e-03       1.145854910552e+04 
       3.667351049219e-03       1.175827419650e+04 
       3.787875679278e-03       1.205431477506e+04 
       3.908921935946e-03       1.234655728522e+04 
       4.030449146814e-03       1.263490726409e+04 
       4.152420502882e-03       1.291928741388e+04 
       4.274802653574e-03       1.319963478769e+04 
       4.397565345168e-03       1.347589916463e+04 
       4.520681098509e-03       1.374804262720e+04 
       4.644124922089e-03       1.401603462348e+04 
       4.767874056747e-03       1.427985531139e+04 
       4.891907748591e-03       1.453948303106e+04 
       5.016207046991e-03       1.479492814488e+04 
       5.140754624835e-03       1.504619180084e+04 
       5.265534618507e-03       1.529326542335e+04 
       5.390532485328e-03       1.553618014613e+04 
       5.515734876449e-03       1.577492123021e+04 
       5.641129523423e-03       1.600951900333e+04 
       5.766705136872e-03       1.623999430718e+04 
       5.892451315869e-03       1.646636489456e+04 
       6.018358466814e-03       1.668865646109e+04 
       6.144417730709e-03       1.690690219101e+04 
       6.270620917902e-03       1.712112347544e+04 
       6.396960449447e-03       1.733135126693e+04 
       6.523429304356e-03       1.753762368989e+04 
       6.650020972076e-03       1.773996333353e+04 
       6.776729409645e-03       1.793841110385e+04 
       6.903549002984e-03       1.813300311044e+04 
       7.030474531922e-03       1.832377007468e+04 
       7.157501138516e-03       1.851074970491e+04 
       7.284624298352e-03       1.869397854142e+04 
       7.411839794498e-03       1.887348486750e+04 
       7.539143693841e-03       1.904931775743e+04 
       7.666532325565e-03       1.922151114889e+04 
       7.794002261550e-03       1.939010890871e+04 
       7.921550298511e-03       1.955513394084e+04 
       8.049173441690e-03       1.971663156154e+04 
       8.176868889960e-03       1.987464636350e+04 
       8.304634022202e-03       2.002919364464e+04 
       8.432466384830e-03       2.018033758476e+04 
       8.560363680367e-03       2.032811150790e+04 
       8.688323756949e-03       2.047254292640e+04 
       8.816344598709e-03       2.061367077899e+04 
       8.944424316918e-03       2.075153125571e+04 
       9.072561141851e-03       2.088616838444e+04 
       9.200753415291e-03       2.101761159060e+04 
       9.328999583622e-03       2.114590143422e+04 
       9.457298191462e-03       2.127106671304e+04 
       9.585647875785e-03       2.139314928896e+04 
       9.714047360489e-03       2.151217860076e+04 
       9.842495451379e-03       2.162820187500e+04 
       9.970991031527e-03       2.174123294700e+04 
       1.009953305697e-02       2.185131718227e+04 
       1.022812055275e-02       2.195849053160e+04 
       1.035675260918e-02       2.206278623193e+04 
       1.048542837850e-02       2.216423214990e+04 
       1.061414707161e-02       2.226286856614e+04 
       1.074290795523e-02       2.235872004499e+04 
       1.087171034907e-02       2.245182250091e+04 
       1.100055362336e-02       2.254221388996e+04 
       1.112943719647e-02       2.262991724162e+04 
       1.125836053269e-02       2.271497398494e+04 
       1.138732314022e-02       2.279740702648e+04 
       1.151632456929e-02       2.287724852699e+04 
       1.164536441033e-02       2.295453191467e+04 
