#       k1      psm01f
#
9.9999997e-05 343.11127
0.00010115909 346.88638
0.00010233171 350.70322
0.00010351779 354.56171
0.0001047177 358.4628
0.0001059315 362.40674
0.00010715931 366.39386
0.00010840141 370.4249
0.00010965789 374.50034
0.000110929 378.6207
0.0001122148 382.7861
0.0001135155 386.99722
0.00011483121 391.25446
0.0001161623 395.55896
0.00011750871 399.91031
0.0001188708 404.30975
0.00012024859 408.75723
0.00012164241 413.25369
0.00012305241 417.79971
0.0001244787 422.39539
0.00012592159 427.04181
0.00012738111 431.73895
0.0001288576 436.48788
0.0001303512 441.289
0.00013186209 446.14258
0.0001333906 451.0499
0.00013493669 456.01074
0.00013650079 461.02615
0.00013808301 466.09668
0.00013968351 471.22263
0.0001413026 476.40497
0.00014294048 481.64432
0.00014459729 486.94092
0.00014627329 492.29565
0.00014796879 497.70938
0.00014968391 503.18237
0.00015141889 508.71545
0.00015317401 514.30927
0.00015494949 519.96442
0.00015674547 525.68152
0.00015856241 531.46167
0.00016040029 537.30481
0.0001622595 543.21216
0.00016414029 549.18439
0.00016604288 555.22211
0.0001679675 561.32587
0.00016991442 567.4967
0.0001718839 573.73492
0.00017387621 580.04169
0.00017589171 586.41779
0.00017793041 592.86334
0.0001799929 599.37994
0.00018207919 605.96777
0.0001841897 612.62769
0.0001863246 619.36041
0.00018848429 626.16693
0.0001906691 633.04834
0.00019287922 640.005
0.00019511482 647.03741
0.00019737642 654.14709
0.00019966422 661.33453
0.00020197862 668.60089
0.00020431967 675.94641
0.000206688 683.37256
0.0002090838 690.88013
0.00021150731 698.4696
0.00021395891 706.14203
0.00021643889 713.89832
0.00021894769 721.73962
0.00022148549 729.66638
0.00022405281 737.68011
0.0002266498 745.78113
0.00022927692 753.9707
0.00023193449 762.24994
0.0002346229 770.61969
0.00023734241 779.08057
0.00024009352 787.63416
0.00024287641 796.28094
0.0002456916 805.02197
0.00024853949 813.85889
0.00025142031 822.79199
0.00025433459 831.82275
0.00025728261 840.95203
0.00026026482 850.18066
0.00026328149 859.5097
0.00026633329 868.94092
0.00026942039 878.47491
0.00027254334 888.11285
0.0002757023 897.8551
0.00027889799 907.70398
0.00028213079 917.66028
0.00028540098 927.72461
0.00028870907 937.89856
0.0002920556 948.18359
0.00029544081 958.58026
0.00029886531 969.09015
0.00030232948 979.71411
0.00030583379 990.45355
0.00030937881 1001.3101
0.00031296481 1012.2841
0.0003165924 1023.3776
0.00032026213 1034.592
0.00032397432 1045.9275
0.00032772947 1057.3861
0.00033152822 1068.9691
0.00033537101 1080.678
0.00033925832 1092.5135
0.00034319068 1104.4774
0.00034716871 1116.571
0.00035119281 1128.796
0.00035526353 1141.1532
0.0003593814 1153.6436
0.00036354701 1166.2693
0.00036776089 1179.0319
0.0003720237 1191.9326
0.00037633581 1204.9725
0.00038069801 1218.1537
0.00038511067 1231.4766
0.00038957459 1244.9438
0.0003940902 1258.5565
0.0003986581 1272.3157
0.00040327903 1286.2234
0.00040795351 1300.2811
0.0004126821 1314.49
0.00041746549 1328.8519
0.00042230435 1343.3682
0.00042719935 1358.041
0.00043215114 1372.8719
0.0004371602 1387.8618
0.00044222738 1403.0127
0.00044735332 1418.3267
0.00045253863 1433.8047
0.00045778413 1449.4495
0.00046309028 1465.2609
0.00046845802 1481.2422
0.00047388801 1497.3948
0.0004793808 1513.72
0.00048493739 1530.2201
0.00049055845 1546.8967
0.00049624447 1563.7511
0.00050199649 1580.7855
0.00050781522 1598.0021
0.00051370141 1615.4022
0.00051965576 1632.9875
0.00052567909 1650.7601
0.00053177233 1668.7218
0.00053793623 1686.8746
0.00054417137 1705.2202
0.00055047905 1723.7612
0.00055685965 1742.4984
0.0005633143 1761.4343
0.00056984375 1780.5712
0.0005764488 1799.91
0.00058313052 1819.454
0.00058988965 1839.2045
0.00059672707 1859.1635
0.00060364394 1879.3339
0.0006106408 1899.7161
0.00061771885 1920.3137
0.0006248788 1941.1274
0.00063212181 1962.1603
0.00063944887 1983.4148
0.0006468608 2004.892
0.00065435865 2026.5941
0.00066194328 2048.5234
0.00066961604 2070.6833
0.00067737763 2093.0742
0.0006852292 2115.699
0.00069317175 2138.5603
0.00070120639 2161.6597
0.0007093341 2184.9993
0.00071755616 2208.5823
0.0007258734 2232.4097
0.00073428702 2256.4846
0.00074279821 2280.8088
0.00075140817 2305.3853
0.00076011784 2330.2158
0.00076892832 2355.3025
0.00077784108 2380.6479
0.00078685721 2406.2546
0.00079597771 2432.1245
0.00080520404 2458.261
0.00081453723 2484.665
0.00082397851 2511.3391
0.0008335294 2538.2869
0.00084319088 2565.5095
0.00085296441 2593.0103
0.00086285133 2620.7915
0.00087285269 2648.855
0.00088297005 2677.2034
0.00089320447 2705.8389
0.00090355769 2734.7651
0.00091403112 2763.9836
0.00092462561 2793.4963
0.00093534315 2823.3069
0.00094618485 2853.4177
0.00095715217 2883.8301
0.00096824655 2914.5474
0.00097946962 2945.572
0.00099082279 2976.9062
0.001002308 3008.554
0.0010139251 3040.5139
0.0010256779 3072.7932
0.0010375669 3105.3928
0.0010495929 3138.3123
0.0010617588 3171.5576
0.0010740659 3205.1316
0.0010865161 3239.0364
0.00109911 3273.2722
0.00111185 3307.8433
0.001124737 3342.7505
0.001137774 3377.9983
0.001150962 3413.5891
0.0011643029 3449.5256
0.001177799 3485.8098
0.001191451 3522.4438
0.001205261 3559.4292
0.0012192311 3596.7695
0.0012333631 3634.4675
0.0012476599 3672.5281
0.001262121 3710.9478
0.001276751 3749.7354
0.00129155 3788.8887
0.00130652 3828.4106
0.001321664 3868.3066
0.001336984 3908.5771
0.0013524807 3949.2239
0.0013681579 3990.2517
0.0013840159 4031.658
0.0014000579 4073.45
0.001416287 4115.6309
0.0014327029 4158.1973
0.00144931 4201.1567
0.001466109 4244.5088
0.001483103 4288.2563
0.001500293 4332.3999
0.0015176829 4376.9453
0.001535275 4421.8936
0.0015530708 4467.2456
0.0015710721 4513.002
0.001589283 4559.1685
0.0016077041 4605.7441
0.0016263402 4652.7358
0.001645191 4700.1382
0.0016642599 4747.9556
0.001683551 4796.1953
0.001703065 4844.8535
