#           k/h    P           
    0.42098E-02    0.13668E+05
    0.42948E-02    0.13872E+05
    0.43816E-02    0.14078E+05
    0.44701E-02    0.14285E+05
    0.45604E-02    0.14494E+05
    0.46525E-02    0.14704E+05
    0.47465E-02    0.14916E+05
    0.48424E-02    0.15128E+05
    0.49402E-02    0.15343E+05
    0.50400E-02    0.15558E+05
    0.51419E-02    0.15774E+05
    0.52457E-02    0.15992E+05
    0.53517E-02    0.16210E+05
    0.54598E-02    0.16429E+05
    0.55701E-02    0.16650E+05
    0.56826E-02    0.16870E+05
    0.57974E-02    0.17092E+05
    0.59145E-02    0.17314E+05
    0.60340E-02    0.17536E+05
    0.61559E-02    0.17759E+05
    0.62803E-02    0.17982E+05
    0.64072E-02    0.18205E+05
    0.65366E-02    0.18428E+05
    0.66686E-02    0.18651E+05
    0.68033E-02    0.18874E+05
    0.69408E-02    0.19096E+05
    0.70810E-02    0.19318E+05
    0.72240E-02    0.19539E+05
    0.73700E-02    0.19760E+05
    0.75189E-02    0.19979E+05
    0.76708E-02    0.20197E+05
    0.78257E-02    0.20414E+05
    0.79838E-02    0.20630E+05
    0.81451E-02    0.20843E+05
    0.83096E-02    0.21055E+05
    0.84775E-02    0.21266E+05
    0.86488E-02    0.21473E+05
    0.88235E-02    0.21679E+05
    0.90017E-02    0.21882E+05
    0.91836E-02    0.22082E+05
    0.93691E-02    0.22280E+05
    0.95583E-02    0.22474E+05
    0.97514E-02    0.22664E+05
    0.99484E-02    0.22851E+05
    0.10149E-01    0.23035E+05
    0.10354E-01    0.23214E+05
    0.10564E-01    0.23389E+05
    0.10777E-01    0.23559E+05
    0.10995E-01    0.23724E+05
    0.11217E-01    0.23884E+05
    0.11443E-01    0.24039E+05
    0.11675E-01    0.24189E+05
    0.11910E-01    0.24332E+05
    0.12151E-01    0.24470E+05
    0.12397E-01    0.24601E+05
    0.12647E-01    0.24725E+05
    0.12902E-01    0.24842E+05
    0.13163E-01    0.24952E+05
    0.13429E-01    0.25055E+05
    0.13700E-01    0.25150E+05
    0.13977E-01    0.25236E+05
    0.14259E-01    0.25315E+05
    0.14547E-01    0.25384E+05
    0.14841E-01    0.25445E+05
    0.15141E-01    0.25497E+05
    0.15447E-01    0.25539E+05
    0.15759E-01    0.25571E+05
    0.16077E-01    0.25593E+05
    0.16402E-01    0.25605E+05
    0.16734E-01    0.25607E+05
    0.17072E-01    0.25598E+05
    0.17416E-01    0.25577E+05
    0.17768E-01    0.25546E+05
    0.18127E-01    0.25503E+05
    0.18493E-01    0.25449E+05
    0.18867E-01    0.25383E+05
    0.19248E-01    0.25305E+05
    0.19637E-01    0.25215E+05
    0.20034E-01    0.25113E+05
    0.20438E-01    0.24999E+05
    0.20851E-01    0.24873E+05
    0.21272E-01    0.24734E+05
    0.21702E-01    0.24584E+05
    0.22141E-01    0.24421E+05
    0.22588E-01    0.24245E+05
    0.23044E-01    0.24058E+05
    0.23510E-01    0.23859E+05
    0.23985E-01    0.23649E+05
    0.24469E-01    0.23427E+05
    0.24964E-01    0.23193E+05
    0.25468E-01    0.22949E+05
    0.25982E-01    0.22695E+05
    0.26507E-01    0.22430E+05
    0.27043E-01    0.22156E+05
    0.27589E-01    0.21872E+05
    0.28146E-01    0.21580E+05
    0.28715E-01    0.21280E+05
    0.29295E-01    0.20973E+05
    0.29887E-01    0.20659E+05
    0.30490E-01    0.20340E+05
    0.31106E-01    0.20015E+05
    0.31735E-01    0.19685E+05
    0.32376E-01    0.19353E+05
    0.33030E-01    0.19017E+05
    0.33697E-01    0.18680E+05
    0.34378E-01    0.18342E+05
    0.35072E-01    0.18005E+05
    0.35781E-01    0.17668E+05
    0.36504E-01    0.17334E+05
    0.37241E-01    0.17002E+05
    0.37993E-01    0.16670E+05
    0.38761E-01    0.16342E+05
    0.39544E-01    0.16020E+05
    0.40343E-01    0.15704E+05
    0.41158E-01    0.15396E+05
    0.41989E-01    0.15096E+05
    0.42838E-01    0.14805E+05
    0.43703E-01    0.14525E+05
    0.44586E-01    0.14254E+05
    0.45486E-01    0.13995E+05
    0.46405E-01    0.13746E+05
    0.47343E-01    0.13507E+05
    0.48299E-01    0.13279E+05
    0.49275E-01    0.13062E+05
    0.50270E-01    0.12853E+05
    0.51286E-01    0.12654E+05
    0.52322E-01    0.12464E+05
    0.53379E-01    0.12281E+05
    0.54457E-01    0.12105E+05
    0.55557E-01    0.11935E+05
    0.56680E-01    0.11771E+05
    0.57825E-01    0.11613E+05
    0.58993E-01    0.11457E+05
    0.60184E-01    0.11325E+05
    0.61400E-01    0.11175E+05
    0.62641E-01    0.11024E+05
    0.63906E-01    0.10870E+05
    0.65197E-01    0.10711E+05
    0.66514E-01    0.10547E+05
    0.67858E-01    0.10375E+05
    0.69229E-01    0.10195E+05
    0.70627E-01    0.10004E+05
    0.72054E-01    0.98030E+04
    0.73510E-01    0.95904E+04
    0.74994E-01    0.93663E+04
    0.76509E-01    0.91312E+04
    0.78055E-01    0.88858E+04
